texto_sede,apariciones,ciudades_de_esos_ensayos,ncts,urls_clinicaltrials
CIDO SpA-Oncology ( Site 0508),1,Antofagasta,NCT05226598,https://clinicaltrials.gov/study/NCT05226598
CIDO SpA-Oncology ( Site 0608),1,Port Montt,NCT05116189,https://clinicaltrials.gov/study/NCT05116189
CIDO SpA-Oncology ( Site 0707),1,Antofagasta,NCT04738487,https://clinicaltrials.gov/study/NCT04738487
CIDO SpA-Oncology ( Site 0708),1,La Serena,NCT07216703,https://clinicaltrials.gov/study/NCT07216703
CIDO SpA-Oncology ( Site 2106),1,Santiago,NCT04626479,https://clinicaltrials.gov/study/NCT04626479
CIDO SpA-Oncology ( Site 2256),1,La Serena,NCT04305054,https://clinicaltrials.gov/study/NCT04305054
CIDO SpA-Oncology ( Site 4106),1,Santiago,NCT04626518,https://clinicaltrials.gov/study/NCT04626518
Catholic University of Maule,1,Talca,NCT04116281,https://clinicaltrials.gov/study/NCT04116281
Centro De Estudios Clínicos Suecia SpA,1,La Serena,NCT05111626,https://clinicaltrials.gov/study/NCT05111626
Centro Investigacion Clinica Del Sur,1,Osorno,NCT03729245,https://clinicaltrials.gov/study/NCT03729245
Centro Investigacion Clinica del Sur,1,Santiago,NCT00974311,https://clinicaltrials.gov/study/NCT00974311
Centro Oncologico Antofagasta,1,Antofagasta,NCT01523587,https://clinicaltrials.gov/study/NCT01523587
Centro Oncologico Antofagasta ( Site 0206),1,Antofagasta,NCT03553836,https://clinicaltrials.gov/study/NCT03553836
Centro Oncologico Antofagasta ( Site 0386),1,Antofagasta,NCT03829319,https://clinicaltrials.gov/study/NCT03829319
Centro Oncologico Antofagasta ( Site 0914),1,Antofagasta,NCT03142334,https://clinicaltrials.gov/study/NCT03142334
Centro Oncologico Antofagasta ( Site 2804),1,Antofagasta,NCT03740165,https://clinicaltrials.gov/study/NCT03740165
Centro Oncológico Antofagasta,1,Antofagasta,NCT01566721,https://clinicaltrials.gov/study/NCT01566721
Centro Oncológico del Norte,1,Antofagasta,NCT03104699,https://clinicaltrials.gov/study/NCT03104699
Centro de Cancer Nuestra Senora de la Esperanza ( Site 0065),1,Santiago,NCT04246177,https://clinicaltrials.gov/study/NCT04246177
Centro de Cancer Pontificie Universidad Catolica de Chile,1,Santiago,NCT02425891,https://clinicaltrials.gov/study/NCT02425891
Centro de Especialidades Dermatologicas,1,Santiago,NCT01241591,https://clinicaltrials.gov/study/NCT01241591
Centro de Estudios Clinicos In,1,Santiago,NCT04987203,https://clinicaltrials.gov/study/NCT04987203
Centro de Estudios Oncologicos Santiago,1,Santiago,NCT00022516,https://clinicaltrials.gov/study/NCT00022516
Centro de Estudios Oncologicos de Santiago (CEOS) Oncologia,1,Santiago,NCT01663727,https://clinicaltrials.gov/study/NCT01663727
Centro de Investigacion y Desarrollo Oncologico,1,Estacion Central,NCT06054555,https://clinicaltrials.gov/study/NCT06054555
Centro de Investigacion y desarrollo Oncologico SpA - CIDO SpA ( Site 0380),1,Antofagasta,NCT03829319,https://clinicaltrials.gov/study/NCT03829319
Centro de Investigacion y desarrollo Oncologico SpA - CIDO SpA ( Site 2808),1,Antofagasta,NCT03740165,https://clinicaltrials.gov/study/NCT03740165
Centro de Investigaciones ( Site 0511),1,Concepción,NCT06717347,https://clinicaltrials.gov/study/NCT06717347
Centro de Investigaciones Clinicas,1,Santiago,NCT02003924,https://clinicaltrials.gov/study/NCT02003924
Centro de Investigaciones Clinicas de la Universidad Catolica,1,Concepción,NCT07022483,https://clinicaltrials.gov/study/NCT07022483
Centro de Investigación Clínica del Sur,1,Providencia,NCT04736199,https://clinicaltrials.gov/study/NCT04736199
Centro de Investigación Oncológica del Norte ( Site 0504),1,Antofagasta,NCT05226598,https://clinicaltrials.gov/study/NCT05226598
Centro de investigacion y desarrollo oncolgico Spa,1,Providencia,NCT06252649,https://clinicaltrials.gov/study/NCT06252649
Cilnica Santa Maria,1,Providencia,NCT00083304,https://clinicaltrials.gov/study/NCT00083304
Clinica CIDO,1,Santiago,NCT05052801,https://clinicaltrials.gov/study/NCT05052801
Clinica Dermacross S.A.,1,Santiago,NCT01163253,https://clinicaltrials.gov/study/NCT01163253
Clinica Dermovein S.A.,1,Santiago,NCT01241591,https://clinicaltrials.gov/study/NCT01241591
Clinica Las Nieves,1,Santiago,NCT00002823,https://clinicaltrials.gov/study/NCT00002823
Clinica Renaca,1,Independencia,NCT00094653,https://clinicaltrials.gov/study/NCT00094653
Clinica Renaca - Gocchi,1,Santiago,NCT00005062,https://clinicaltrials.gov/study/NCT00005062
Clínica MEDS La Dehesa ( Site 0509),1,Las Condes,NCT07431827,https://clinicaltrials.gov/study/NCT07431827
Clínica UC San Carlos de Apoquindo,1,Santiago,NCT07076121,https://clinicaltrials.gov/study/NCT07076121
Clínica UC San Carlos de Apoquindo ( Site 0043),1,Providencia,NCT06428409,https://clinicaltrials.gov/study/NCT06428409
Clínica UC San Carlos de Apoquindo ( Site 0211),1,Port Montt,NCT06997497,https://clinicaltrials.gov/study/NCT06997497
Clínica UC San Carlos de Apoquindo ( Site 0305),1,Antofagasta,NCT05665595,https://clinicaltrials.gov/study/NCT05665595
Clínica UC San Carlos de Apoquindo-Hemato-Oncology ( Site 2402),1,Santiago,NCT05933577,https://clinicaltrials.gov/study/NCT05933577
Clínica Vespucio ( Site 0205),1,La Serena,NCT05064059,https://clinicaltrials.gov/study/NCT05064059
Clínica Vespucio-Hemato - Ocology ( Site 0607),1,Port Montt,NCT05116189,https://clinicaltrials.gov/study/NCT05116189
Corporacion Nacional del Cancer,1,Santiago,NCT00078832,https://clinicaltrials.gov/study/NCT00078832
Corporacion de Beneficencia Osorno,1,Osorno,NCT03729245,https://clinicaltrials.gov/study/NCT03729245
Corporación de Salud Municipal de Puente Alto,1,Santiago,NCT03920098,https://clinicaltrials.gov/study/NCT03920098
Daniel Munoz,1,Santiago,NCT03400709,https://clinicaltrials.gov/study/NCT03400709
"Department of Pediatrics Hematology and Oncology, Hospital Roberto del Rio",1,Santiago,NCT00411541,https://clinicaltrials.gov/study/NCT00411541
"Department of Rehabilitation Sciences, Faculty of Medicine, Universidad de La Frontera. Temuco, Chile",1,Temuco,NCT05690295,https://clinicaltrials.gov/study/NCT05690295
"Department of Surgery, Clinical Hospital, University of Chile",1,Santiago,NCT00935779,https://clinicaltrials.gov/study/NCT00935779
Departmento de Hemato-Oncologia,1,Santiago,NCT00080340,https://clinicaltrials.gov/study/NCT00080340
Enroll SpA,1,Providencia,NCT06252649,https://clinicaltrials.gov/study/NCT06252649
Facultad de medicina UC,1,Santiago,NCT07131735,https://clinicaltrials.gov/study/NCT07131735
Fresenius Kabi Chile Therapia iv,1,Santiago,NCT01989676,https://clinicaltrials.gov/study/NCT01989676
"Fresenius Kabi Chile, Therapia i.v.",1,Santiago,NCT02364999,https://clinicaltrials.gov/study/NCT02364999
Fundación Arturo Pérez López,1,Santiago,NCT05215340,https://clinicaltrials.gov/study/NCT05215340
Health & Care Spa,1,Santiago,NCT03296163,https://clinicaltrials.gov/study/NCT03296163
Health and Care Chile ( Site 0202),1,Santiago,NCT03066778,https://clinicaltrials.gov/study/NCT03066778
Health and Care Chile ( Site 0901),1,Antofagasta,NCT03142334,https://clinicaltrials.gov/study/NCT03142334
Hosp Regional de Concepcion,1,Arica,NCT03220230,https://clinicaltrials.gov/study/NCT03220230
Hospital Amaral Carvalho,1,Santiago,NCT02312258,https://clinicaltrials.gov/study/NCT02312258
Hospital Base de Arica,1,Arica,NCT03220230,https://clinicaltrials.gov/study/NCT03220230
Hospital Base de Puerto Montt,1,Arica,NCT03220230,https://clinicaltrials.gov/study/NCT03220230
Hospital Clinico Universidad Catolica de Chile,1,Santiago,NCT00722137,https://clinicaltrials.gov/study/NCT00722137
Hospital Clínico de la Pontificia Univ. Católica de Chile,1,Providencia,NCT04736199,https://clinicaltrials.gov/study/NCT04736199
Hospital DIPRECA,1,Santiago,NCT00715637,https://clinicaltrials.gov/study/NCT00715637
Hospital Dirección de Previsión de Carabineros,1,Los Condes,NCT00949650,https://clinicaltrials.gov/study/NCT00949650
Hospital FACH,1,Santiago,NCT00080340,https://clinicaltrials.gov/study/NCT00080340
Hospital Hanga Roa,1,Concepción,NCT02788214,https://clinicaltrials.gov/study/NCT02788214
Hospital Intercultural,1,Concepción,NCT03188406,https://clinicaltrials.gov/study/NCT03188406
Hospital Luis Tisne Brousse,1,Antofagasta,NCT02889874,https://clinicaltrials.gov/study/NCT02889874
Hospital Naval Almirante Nef,1,Santiago,NCT01989676,https://clinicaltrials.gov/study/NCT01989676
Hospital Regional de La Serena ( Site 0907),1,Antofagasta,NCT03142334,https://clinicaltrials.gov/study/NCT03142334
Hospital Roberto Del Rio,1,Santiago,NCT01281735,https://clinicaltrials.gov/study/NCT01281735
Hospital Roberto del Rio,1,Santiago,NCT02303821,https://clinicaltrials.gov/study/NCT02303821
Hospital Roberto del Rio-Universidad de Chile,1,Santiago,NCT03007147,https://clinicaltrials.gov/study/NCT03007147
Hospital Salvador,1,Santiago,NCT06556004,https://clinicaltrials.gov/study/NCT06556004
Hospital San Jose,1,Santiago,NCT00974311,https://clinicaltrials.gov/study/NCT00974311
Hospital San Pablo,1,Coquimbo,NCT07593066,https://clinicaltrials.gov/study/NCT07593066
Hospital Santa Maria,1,Santiago,NCT00715637,https://clinicaltrials.gov/study/NCT00715637
Hospital Santa Rosa de Molina,1,Molina,NCT01774266,https://clinicaltrials.gov/study/NCT01774266
Hospital Santiago Oriente Dr. Luis Tisne Brousse,1,Peñalolén,NCT00553410,https://clinicaltrials.gov/study/NCT00553410
Hospital de Curanilahue,1,Concepción,NCT03188406,https://clinicaltrials.gov/study/NCT03188406
Hospital de Puerto Montt,1,Concepción,NCT03188406,https://clinicaltrials.gov/study/NCT03188406
Hospital de Referencia de Salud Cordillera Unidad de Patología Mamaria,1,Santiago,NCT02594371,https://clinicaltrials.gov/study/NCT02594371
Hospital de Victoria,1,Concepción,NCT03188406,https://clinicaltrials.gov/study/NCT03188406
Hospital de Villarrica,1,Concepción,NCT03188406,https://clinicaltrials.gov/study/NCT03188406
Hospital regional de Coyhaique,1,Coquimbo,NCT07593066,https://clinicaltrials.gov/study/NCT07593066
ICER-Lab,1,Talcahuano,NCT06766903,https://clinicaltrials.gov/study/NCT06766903
INTOP,1,Providencia,NCT01358877,https://clinicaltrials.gov/study/NCT01358877
IRAM,1,Santiago,NCT02594371,https://clinicaltrials.gov/study/NCT02594371
IRAM - Chile,1,Peñalolén,NCT00553410,https://clinicaltrials.gov/study/NCT00553410
IRAM - Instituto de Radio Medicina,1,Santiago,NCT02576574,https://clinicaltrials.gov/study/NCT02576574
Instituto Clinico Oncologico,1,Santiago,NCT04604132,https://clinicaltrials.gov/study/NCT04604132
Instituto Nacional de Cancer,1,Santiago,NCT00465491,https://clinicaltrials.gov/study/NCT00465491
Instituto de Radiomedicine,1,Santiago,NCT00864331,https://clinicaltrials.gov/study/NCT00864331
Instituto de Salud Publica,1,Santiago,NCT02326857,https://clinicaltrials.gov/study/NCT02326857
Instituto de Terapias Oncologicas,1,Santiago,NCT00849667,https://clinicaltrials.gov/study/NCT00849667
Instituto de Tereplas Oncologicas Providencia INTOP,1,Providencia,NCT01512199,https://clinicaltrials.gov/study/NCT01512199
Iram Cancer Research ( Site 0198),1,Santiago,NCT04221945,https://clinicaltrials.gov/study/NCT04221945
Iram Cancer Research ( Site 0909),1,Antofagasta,NCT03142334,https://clinicaltrials.gov/study/NCT03142334
Iram Cancer Research ( Site 2809),1,Antofagasta,NCT03740165,https://clinicaltrials.gov/study/NCT03740165
Karol Ramírez,1,Puente Alto,NCT04821609,https://clinicaltrials.gov/study/NCT04821609
Medical Research Limited Society,1,Temuco,NCT03433313,https://clinicaltrials.gov/study/NCT03433313
Meditek Ltda.,1,Santiago,NCT04987203,https://clinicaltrials.gov/study/NCT04987203
Pontifica Universidad Catolica De Chile,1,Santiago,NCT07291076,https://clinicaltrials.gov/study/NCT07291076
"San Joaquín Medical Center, UCChristus Health Network",1,Coquimbo,NCT07593066,https://clinicaltrials.gov/study/NCT07593066
Servicio de Oncologia-Hospital Clinico Unversidad de Chile,1,Independencia,NCT00057720,https://clinicaltrials.gov/study/NCT00057720
Servicios Medicos Urumed ( Site 0405),1,La Serena,NCT04736706,https://clinicaltrials.gov/study/NCT04736706
Sociedad Medica Aren y Bachero Limitada ( Site 0207),1,Antofagasta,NCT03553836,https://clinicaltrials.gov/study/NCT03553836
Sociedad Medica Aren y Bachero Limitada ( Site 0426),1,Santiago,NCT03820986,https://clinicaltrials.gov/study/NCT03820986
UROMED,1,Providencia,NCT04736199,https://clinicaltrials.gov/study/NCT04736199
Universidad Católica del Norte,1,Arica,NCT03220230,https://clinicaltrials.gov/study/NCT03220230
Universidad de La Frontera,1,Temuco,NCT06148077,https://clinicaltrials.gov/study/NCT06148077
