nct,titulo,ciudad_en_la_muestra,sitios_chile,url_clinicaltrials
NCT00113607,An Efficacy and Safety Study for Yondelis (Trabectedin) in Patients With Advanced Relapsed Ovarian Cancer,Reneca (+1 sitios),2,https://clinicaltrials.gov/study/NCT00113607
NCT00117598,Study Evaluating Temsirolimus (CCI-779) In Mantle Cell Lymphoma (MCL),Providencia,1,https://clinicaltrials.gov/study/NCT00117598
NCT00124566,Study of Irofulven in Patients With Hormone-refractory Prostate Cancer,Santiago,1,https://clinicaltrials.gov/study/NCT00124566
NCT00130897,Treatment Use Study With Sunitinib (SU011248) For Patients With Cytokine-Refractory Metastatic Renal Cell Carcinoma,Santiago,1,https://clinicaltrials.gov/study/NCT00130897
NCT00148798,Study of Cisplatin/Vinorelbine +/- Cetuximab as First-line Treatment of Advanced Non Small Cell Lung Cancer (FLEX),Antofagasta (+1 sitios),2,https://clinicaltrials.gov/study/NCT00148798
NCT00154102,Cetuximab Combined With Irinotecan in First-line Therapy for Metastatic Colorectal Cancer (CRYSTAL),Santiago-Las Condes (+1 sitios),2,https://clinicaltrials.gov/study/NCT00154102
NCT00171340,Zoledronic Acid in the Prevention of Cancer Treatment Related Bone Loss in Postmenopausal Women Receiving Letrozole for Breast Cancer.,Santiago,1,https://clinicaltrials.gov/study/NCT00171340
NCT00174655,BIG 02/98 Docetaxel - Breast Cancer,Providencia Santiago,1,https://clinicaltrials.gov/study/NCT00174655
NCT00174837,TRACE: Tirapazamine-Radiation And Cisplatin Evaluation,Santiago,1,https://clinicaltrials.gov/study/NCT00174837
NCT00174863,Evaluation of SR 31747A Versus Placebo in Androgen-Independent Non Metastatic Prostate Cancer,Santiago,1,https://clinicaltrials.gov/study/NCT00174863
NCT00300885,A Randomized Controlled Trial Comparing Safety and Efficacy of Carboplatin and Paclitaxel Plus or Minus Sorafenib (BAY 43-9006) in Chemonaive Patients With Stag,Santiago (+3 sitios),4,https://clinicaltrials.gov/study/NCT00300885
NCT00305188,Evaluation of the Efficacy of Xaliproden (SR57746A) in Preventing the Neurotoxicity of Oxaliplatin / 5FU/LV Chemotherapy.,Santiago,1,https://clinicaltrials.gov/study/NCT00305188
NCT00324155,Dacarbazine and Ipilimumab vs. Dacarbazine With Placebo in Untreated Unresectable Stage III or IV Melanoma,Santiago,1,https://clinicaltrials.gov/study/NCT00324155
NCT00334282,Safety and Efficacy of GW786034 (Pazopanib) In Metastatic Renal Cell Carcinoma,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT00334282
NCT00338247,EAP (Expanded Access Protocol) Of Lapatinib Combined With Capecitabine In Metastatic Breast Cancer,Santiago,1,https://clinicaltrials.gov/study/NCT00338247
NCT00338286,A Study of Epoetin Alfa Plus Standard Supportive Care Versus Standard Supportive Care Only in Anemic Patients With Metastatic Breast Cancer Receiving Standard C,Arica (+4 sitios),5,https://clinicaltrials.gov/study/NCT00338286
NCT00373113,A Clinical Trial Comparing Efficacy And Safety Of Sunitinib And Capecitabine,Temuco,1,https://clinicaltrials.gov/study/NCT00373113
NCT00374322,Tykerb Evaluation After Chemotherapy (TEACH): Lapatinib Versus Placebo In Women With Early-Stage Breast Cancer,Santiago (+3 sitios),4,https://clinicaltrials.gov/study/NCT00374322
NCT00387764,Extension Study to VEG105192 to Assess Pazopanib in Patients With Advanced/Metastatic Renal Cell Cancer,Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT00387764
NCT00417079,XRP6258 Plus Prednisone Compared to Mitoxantrone Plus Prednisone in Hormone Refractory Metastatic Prostate Cancer,Santiago,1,https://clinicaltrials.gov/study/NCT00417079
NCT00417209,Larotaxel Compared To Continuous Administration of 5-FU in Advanced Pancreatic Cancer Patients Previously Treated With A Gemcitabine-Containing Regimen,Santiago,1,https://clinicaltrials.gov/study/NCT00417209
NCT00418236,"Effect of Bazedoxifene, Raloxifene, and Placebo on Breast Density",Santiago,1,https://clinicaltrials.gov/study/NCT00418236
NCT00428090,Rosiglitazone (Extended Release Tablets) As Monotherapy In Subjects With Mild To Moderate Alzheimer's Disease,Providencia / Santiago (+3 sitios),4,https://clinicaltrials.gov/study/NCT00428090
NCT00457392,A Study In Patients With Non-Small Cell Lung Cancer To Test If Erlotinib Plus SU011248 Is Better Than Erlotinib Alone,Independencia (+2 sitios),3,https://clinicaltrials.gov/study/NCT00457392
NCT00457691,Study Of FOLFIRI Chemotherapy With Or Without Sunitinib In Patients With Metastatic Colorectal Cancer,Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT00457691
NCT00474786,Temsirolimus Versus Sorafenib As Second-Line Therapy In Patients With Advanced RCC Who Have Failed First-Line Sunitinib,Providencia,1,https://clinicaltrials.gov/study/NCT00474786
NCT00481247,A Phase III Study of Dasatinib vs Imatinib in Patients With Newly Diagnosed Chronic Phase Chronic Myeloid Leukemia,Santiago,1,https://clinicaltrials.gov/study/NCT00481247
NCT00490139,ALTTO (Adjuvant Lapatinib And/Or Trastuzumab Treatment Optimisation) Study; BIG 2-06/N063D,Santiago (+7 sitios),8,https://clinicaltrials.gov/study/NCT00490139
NCT00519285,Aflibercept in Combination With Docetaxel in Metastatic Androgen Independent Prostate Cancer,Providencia Santiago,1,https://clinicaltrials.gov/study/NCT00519285
NCT00532155,A Study of Aflibercept Versus Placebo in Patients With Second-Line Docetaxel for Locally Advanced or Metastatic Non-Small-Cell Lung Cancer,Santiago,1,https://clinicaltrials.gov/study/NCT00532155
NCT00556322,"A Study of Tarceva (Erlotinib) and Standard of Care Chemotherapy in Patients With Advanced, Recurrent, or Metastatic Non-Small Cell Lung Cancer (NSCLC)",Santiago,1,https://clinicaltrials.gov/study/NCT00556322
NCT00556712,"A Study of Tarceva (Erlotinib) Following Platinum-Based Chemotherapy in Patients With Advanced, Recurrent, or Metastatic Non-Small Cell Lung Cancer (NSCLC)",Santiago,1,https://clinicaltrials.gov/study/NCT00556712
NCT00558103,Pazopanib Plus Lapatinib Compared To Lapatinib Alone In Subjects With Inflammatory Breast Cancer,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT00558103
NCT00560235,"Study Of CP-751,871 In Patients With Ewing's Sarcoma Family Of Tumors",Providencia,1,https://clinicaltrials.gov/study/NCT00560235
NCT00561470,Aflibercept Versus Placebo in Combination With Irinotecan and 5-FU in the Treatment of Patients With Metastatic Colorectal Cancer After Failure of an Oxaliplati,Santiago (+4 sitios),5,https://clinicaltrials.gov/study/NCT00561470
NCT00574275,Aflibercept Compared to Placebo in Term of Efficacy in Patients Treated With Gemcitabine for Metastatic Pancreatic Cancer,Santiago,1,https://clinicaltrials.gov/study/NCT00574275
NCT00625664,Larotaxel + Cisplatin Versus Gemcitabine + Cisplatin in First Line Treatment of Locally Advanced/Metastatic Urothelial Tract or Bladder Cancer,Santiago,1,https://clinicaltrials.gov/study/NCT00625664
NCT00626548,A Phase III Trial of ZD4054 (Zibotentan) (Endothelin A Antagonist) in Non-metastatic Hormone Resistant Prostate Cancer,La Serena (+3 sitios),4,https://clinicaltrials.gov/study/NCT00626548
NCT00673049,"Trial Of CP-751, 871 And Erlotinib In Refractory Lung Cancer",Independencia,1,https://clinicaltrials.gov/study/NCT00673049
NCT00678535,Erbitux in Combination With Xeloda and Cisplatin in Advanced Esophago-gastric Cancer,Reñaca (+3 sitios),4,https://clinicaltrials.gov/study/NCT00678535
NCT00680901,"LOGiC - Lapatinib Optimization Study in ErbB2 (HER2) Positive Gastric Cancer: A Phase III Global, Blinded Study Designed to Evaluate Clinical Endpoints and Safe",Santiago (+3 sitios),4,https://clinicaltrials.gov/study/NCT00680901
NCT00681122,CARIATIDE (Compliance of ARomatase Inhibitors AssessmenT In Daily Practice Through Educational Approach),Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT00681122
NCT00692770,Sorafenib as Adjuvant Treatment in the Prevention Of Recurrence of Hepatocellular Carcinoma (STORM),Reñaca (+1 sitios),2,https://clinicaltrials.gov/study/NCT00692770
NCT00806819,Lume Lung 2 : BIBF 1120 Plus Pemetrexed Compared to Placebo Plus Pemetrexed in 2nd Line Nonsquamous NSCLC,"Jardin Del Mar, Renaca (+3 sitios)",4,https://clinicaltrials.gov/study/NCT00806819
NCT00858364,Anemia Treatment for Advanced Non-Small Cell Lung Cancer (NSCLC) Patients Receiving Chemotherapy,Reñaca (+4 sitios),5,https://clinicaltrials.gov/study/NCT00858364
NCT00861614,Study of Immunotherapy to Treat Advanced Prostate Cancer,Santiago (+4 sitios),5,https://clinicaltrials.gov/study/NCT00861614
NCT00863746,A 3rd/4th Line Placebo-controlled Trial of Sorafenib in Patients With Predominantly Non Squamous Non-Small Cell Lung Cancer (NSCLC).,Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT00863746
NCT00883909,ARI103094-Follow-Up Study for REDUCE Study Subjects,Santiago,1,https://clinicaltrials.gov/study/NCT00883909
NCT00901901,Nexavar-Tarceva Combination Therapy for First Line Treatment of Patients Diagnosed With Hepatocellular Carcinoma,Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT00901901
NCT00917384,Study of IMC-1121B (Ramucirumab) With Best Supportive Care in Participants With Gastric Cancer and Adenocarcinoma,Concepción (+2 sitios),3,https://clinicaltrials.gov/study/NCT00917384
NCT00949910,An Expanded Access Program of Tarceva (Erlotinib) in Participants With Advanced Non-Small Cell Lung Cancer (NSCLC),Santiago,1,https://clinicaltrials.gov/study/NCT00949910
NCT01013740,Lapatinib in Combination With Vinorelbine,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT01013740
NCT01057810,Phase 3 Study of Immunotherapy to Treat Advanced Prostate Cancer,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT01057810
NCT01077154,Study of Denosumab as Adjuvant Treatment for Women With High Risk Early Breast Cancer Receiving Neoadjuvant or Adjuvant Therapy (D-CARE),Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT01077154
NCT01170663,A Study of Paclitaxel With or Without Ramucirumab (IMC-1211B) in Metastatic Gastric Adenocarcinoma,Providencia (+1 sitios),2,https://clinicaltrials.gov/study/NCT01170663
NCT01193244,Study Comparing Orteronel Plus Prednisone in Participants With Chemotherapy-Naive Metastatic Castration-Resistant Prostate Cancer,Las Condes (+3 sitios),4,https://clinicaltrials.gov/study/NCT01193244
NCT01204749,"TRINOVA-1: A Study of AMG 386 or Placebo, in Combination With Weekly Paclitaxel Chemotherapy, as Treatment for Ovarian Cancer, Primary Peritoneal Cancer and Fal",Temuco (+1 sitios),2,https://clinicaltrials.gov/study/NCT01204749
NCT01234311,A Study of Tasquinimod in Men With Metastatic Castrate Resistant Prostate Cancer,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT01234311
NCT01235962,A Study to Evaluate Pazopanib as an Adjuvant Treatment for Localized Renal Cell Carcinoma (RCC),Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT01235962
NCT01244191,"Tivantinib Plus Erlotinib Versus Placebo Plus Erlotinib for the Treatment of Non-squamous, Non-small-cell Lung Cancer",Santiago (+3 sitios),4,https://clinicaltrials.gov/study/NCT01244191
NCT01263886,Trial of Ombrabulin (AVE8062) in Combination With Taxane and Platinum in Patients With Non-small Cell Lung Cancer,Santiago (+3 sitios),4,https://clinicaltrials.gov/study/NCT01263886
NCT01285609,Phase 3 Trial in Squamous Non Small Cell Lung Cancer Subjects Comparing Ipilimumab Versus Placebo in Addition to Paclitaxel and Carboplatin,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT01285609
NCT01308580,Cabazitaxel at 20 mg/m² Compared to 25 mg/m² With Prednisone for the Treatment of Metastatic Castration Resistant Prostate Cancer,Santiago (+3 sitios),4,https://clinicaltrials.gov/study/NCT01308580
NCT01412957,Comparison of Survival Benefit of Panitumumab With Supportive Care to Best Supportive Care Alone in Patients With Metastatic Colorectal Cancer,Temuco (+1 sitios),2,https://clinicaltrials.gov/study/NCT01412957
NCT01437566,Study of GDC-0941 or GDC-0980 With Fulvestrant Versus Fulvestrant in Advanced or Metastatic Breast Cancer in Participants Resistant to Aromatase Inhibitor Thera,Santiago (+3 sitios),4,https://clinicaltrials.gov/study/NCT01437566
NCT01450696,A Study of Herceptin (Trastuzumab) in Combination With Cisplatin/Capecitabine Chemotherapy in Participants With Human Epidermal Growth Factor Receptor 2 (HER2)-,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT01450696
NCT01450761,Trial in Extensive-Disease Small Cell Lung Cancer (ED-SCLC) Subjects Comparing Ipilimumab Plus Etoposide and Platinum Therapy to Etoposide and Platinum Therapy ,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT01450761
NCT01456325,A Study of Onartuzumab (MetMAb) in Combination With Tarceva (Erlotinib) in Participants With Met Diagnostic-Positive Non-Small Cell Lung Cancer Who Have Receive,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT01456325
NCT01482962,Alisertib (MLN8237) or Investigator's Choice in Patients With Relapsed/Refractory Peripheral T-Cell Lymphoma,Concepción (+1 sitios),2,https://clinicaltrials.gov/study/NCT01482962
NCT01500720,Cabazitaxel Compared to Topotecan for the Treatment of Small Cell Lung Cancer,Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT01500720
NCT01516736,Phase III Study Comparing the Efficacy and Safety of LA-EP2006 and Peg-Filgrastim,Temuco,1,https://clinicaltrials.gov/study/NCT01516736
NCT01571284,Safety and Quality of Life Study of Aflibercept in Patients With Metastatic Colorectal Cancer Previously Treated With an Oxaliplatin-Based Regimen,Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT01571284
NCT01642004,Study of BMS-936558 (Nivolumab) Compared to Docetaxel in Previously Treated Advanced or Metastatic Squamous Cell Non-small Cell Lung Cancer (NSCLC) (CheckMate 0,Antofagasta (+4 sitios),5,https://clinicaltrials.gov/study/NCT01642004
NCT01646021,"Study of Ibrutinib (a Bruton's Tyrosine Kinase Inhibitor), Versus Temsirolimus in Patients With Relapsed or Refractory Mantle Cell Lymphoma Who Have Received at",Temuco,1,https://clinicaltrials.gov/study/NCT01646021
NCT01673867,Study of BMS-936558 (Nivolumab) Compared to Docetaxel in Previously Treated Metastatic Non-squamous NSCLC,Santiago (+3 sitios),4,https://clinicaltrials.gov/study/NCT01673867
NCT01715285,"A Study of Abiraterone Acetate Plus Low-Dose Prednisone Plus Androgen Deprivation Therapy (ADT) Versus ADT Alone in Newly Diagnosed Participants With High-Risk,",Santiago,1,https://clinicaltrials.gov/study/NCT01715285
NCT01721772,"Study of Nivolumab (BMS-936558) Compared With Dacarbazine in Untreated, Unresectable, or Metastatic Melanoma",Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT01721772
NCT01724021,A Study of Participant Preference With Subcutaneous Versus Intravenous MabThera/Rituxan in Participants With CD20+ Diffuse Large B-Cell Lymphoma or CD20+ Follic,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT01724021
NCT01865747,A Study of Cabozantinib (XL184) vs Everolimus in Subjects With Metastatic Renal Cell Carcinoma,Santiago,1,https://clinicaltrials.gov/study/NCT01865747
NCT01901146,Efficacy and Safety Study of ABP 980 Compared With Trastuzumab in Women With HER2-positive Early Breast Cancer,Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT01901146
NCT01933932,Assess Efficacy & Safety of Selumetinib in Combination With Docetaxel in Patients Receiving 2nd Line Treatment for v-Ki-ras2 Kirsten Rat Sarcoma Viral Oncogene ,Santiago (+5 sitios),6,https://clinicaltrials.gov/study/NCT01933932
NCT01977651,A Study to Evaluate the Potential Increased Risk of Seizures Among Metastatic Castration-Resistant Prostate Cancer (mCRPC) Patients Treated With Enzalutamide,Santiago (+3 sitios),4,https://clinicaltrials.gov/study/NCT01977651
NCT02016534,Phase 2 Study of AMG 337 in MET Amplified Gastric/Esophageal Adenocarcinoma or Other Solid Tumors,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT02016534
NCT02023697,Standard Dose Versus High Dose and Versus Extended Standard Dose Radium-223 Dichloride in Castration-resistant Prostate Cancer Metastatic to the Bone,Santiago,1,https://clinicaltrials.gov/study/NCT02023697
NCT02119663,A Study of Ruxolitinib in Pancreatic Cancer Patients,Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT02119663
NCT02125461,A Global Study to Assess the Effects of MEDI4736 Following Concurrent Chemoradiation in Patients With Stage III Unresectable Non-Small Cell Lung Cancer,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT02125461
NCT02162667,Efficacy and Safety Evaluating Study of CT-P6 in Her2 Positive Early Breast Cancer,Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT02162667
NCT02231749,Nivolumab Combined With Ipilimumab Versus Sunitinib in Previously Untreated Advanced or Metastatic Renal Cell Carcinoma (CheckMate 214),Santiago (+3 sitios),4,https://clinicaltrials.gov/study/NCT02231749
NCT02279862,Safety and Efficacy Study of Ipilimumab 3 mg/kg Versus Ipilimumab 10 mg/kg in Subjects With Metastatic Castration Resistant Prostate Cancer Who Are Chemotherapy,Recoleta (+2 sitios),3,https://clinicaltrials.gov/study/NCT02279862
NCT02300831,LUMINIST: LUng Cancer Molecular Insights Non Interventional Study,Santiago,1,https://clinicaltrials.gov/study/NCT02300831
NCT02352948,"A Global Study to Assess the Effects of MEDI4736 (Durvalumab), Given as Monotherapy or in Combination With Tremelimumab Determined by PD-L1 Expression Versus St",Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT02352948
NCT02367040,Copanlisib and Rituximab in Relapsed Indolent B-cell Non-Hodgkin's Lymphoma (iNHL),Temuco,1,https://clinicaltrials.gov/study/NCT02367040
NCT02369874,Study of MEDI4736 Monotherapy and in Combination With Tremelimumab Versus Standard of Care Therapy in Patients With Head and Neck Cancer,Temuco,1,https://clinicaltrials.gov/study/NCT02369874
NCT02386800,CINC424A2X01B Rollover Protocol,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT02386800
NCT02437318,Study Assessing the Efficacy and Safety of Alpelisib Plus Fulvestrant in Men and Postmenopausal Women With Advanced Breast Cancer Which Progressed on or After A,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT02437318
NCT02472964,"Study of Efficacy and Safety of Myl1401O + Taxane vs Herceptin©+ Taxane for 1st Line, Met. Br. Ca.",Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT02472964
NCT02475681,"Acalabrutinib, Obinutuzumab and Chlorambucil in Treatment naïve CLL",Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT02475681
NCT02477826,"An Investigational Immuno-therapy Trial of Nivolumab, or Nivolumab Plus Ipilimumab, or Nivolumab Plus Platinum-doublet Chemotherapy, Compared to Platinum Double",Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT02477826
NCT02481830,Effectiveness Study of Nivolumab Compared to Chemotherapy in Patients With Relapsed Small-cell Lung Cancer,Recoleta,1,https://clinicaltrials.gov/study/NCT02481830
NCT02542293,Study of Durvalumab With Tremelimumab Versus SoC as 1st Line Therapy in Metastatic Non Small-Cell Lung Cancer (NSCLC) (NEPTUNE),Santiago (+6 sitios),7,https://clinicaltrials.gov/study/NCT02542293
NCT02559583,"Observational Study in Participants With Chronic Lymphocytic Leukemia (CLL), Multiple Myeloma (MM) and Non-Hodgkin's Lymphoma (NHL) in Latin America",Santiago,1,https://clinicaltrials.gov/study/NCT02559583
NCT02588261,A Study of ASP8273 vs. Erlotinib or Gefitinib in First-line Treatment of Patients With Stage IIIB/IV Non-small Cell Lung Cancer Tumors With EGFR Activating Muta,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT02588261
NCT02677896,A Study of Enzalutamide Plus Androgen Deprivation Therapy (ADT) Versus Placebo Plus ADT in Patients With Metastatic Hormone Sensitive Prostate Cancer (mHSPC),Providencia (+5 sitios),6,https://clinicaltrials.gov/study/NCT02677896
NCT02752074,A Phase 3 Study of Pembrolizumab + Epacadostat or Placebo in Subjects With Unresectable or Metastatic Melanoma (Keynote-252 / ECHO-301),Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT02752074
NCT02809053,"A Randomized, Double-blind, Multi-center, Multi-national Trial to Evaluate the Efficacy, Safety, and Immunogenicity of SAIT101 Versus Rituximab as a First-line ",Temuco,1,https://clinicaltrials.gov/study/NCT02809053
NCT02823574,Study of Nivolumab in Combination With Ipilimumab Versus Nivolumab in Combination With Ipilimumab Placebo in Patients With Recurrent or Metastatic Squamous Cell,Santiago,1,https://clinicaltrials.gov/study/NCT02823574
NCT02869789,An Investigational Immuno-therapy Study for Safety of Nivolumab in Combination With Ipilimumab to Treat Advanced Cancers,Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT02869789
NCT02872116,Efficacy Study of Nivolumab Plus Ipilimumab or Nivolumab Plus Chemotherapy Against Chemotherapy in Stomach Cancer or Stomach/Esophagus Junction Cancer,Independencia (+4 sitios),5,https://clinicaltrials.gov/study/NCT02872116
NCT02941926,Study to Assess the Safety and Efficacy of Ribociclib (LEE011) in Combination With Letrozole for the Treatment of Men and Pre/Postmenopausal Women With HR+ HER2,Santiago,1,https://clinicaltrials.gov/study/NCT02941926
NCT02960022,A Study for Subjects With Prostate Cancer Who Previously Participated in an Enzalutamide Clinical Study,IX Region (+5 sitios),6,https://clinicaltrials.gov/study/NCT02960022
NCT02967692,"A Study of the Anti-PD1 Antibody PDR001, in Combination With Dabrafenib and Trametinib in Advanced Melanoma",Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT02967692
NCT03056755,"Study Assessing the Efficacy and Safety of Alpelisib Plus Fulvestrant or Letrozole, Based on Prior Endocrine Therapy, in Patients With PIK3CA Mutant, HR+, HER2-",Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT03056755
NCT03138512,"A Study Comparing Nivolumab, Nivolumab in Combination With Ipilimumab and Placebo in Participants With Localized Kidney Cancer Who Underwent Surgery to Remove P",La Serena (+4 sitios),5,https://clinicaltrials.gov/study/NCT03138512
NCT03141177,A Study of Nivolumab Combined With Cabozantinib Compared to Sunitinib in Previously Untreated Advanced or Metastatic Renal Cell Carcinoma,Santiago,1,https://clinicaltrials.gov/study/NCT03141177
NCT03200717,"Study of Efficacy, Safety, and Quality of Life of Pazopanib in Patients With Advanced and/or Metastatic Renal Cell Carcinoma After Prior Checkpoint Inhibitor Tr",Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT03200717
NCT03215706,A Study of Nivolumab and Ipilimumab Combined With Chemotherapy Compared to Chemotherapy Alone in First Line NSCLC,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT03215706
NCT03338790,"An Investigational Immunotherapy Study of Nivolumab in Combination With Rucaparib, Docetaxel, or Enzalutamide in Metastatic Castration-resistant Prostate Cancer",Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT03338790
NCT03377361,An Investigational Immuno-therapy Study Of Nivolumab In Combination With Trametinib With Or Without Ipilimumab In Participants With Previously Treated Cancer of,Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT03377361
NCT03383458,A Study of Nivolumab in Participants With Hepatocellular Carcinoma Who Are at High Risk of Recurrence After Curative Hepatic Resection or Ablation,Santiago (+3 sitios),4,https://clinicaltrials.gov/study/NCT03383458
NCT03447769,Brief Title: Study of Efficacy and Safety of Canakinumab as Adjuvant Therapy in Adult Subjects With Stages AJCC/UICC v. 8 II-IIIA and IIIB (T>5cm N2) Completely,Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT03447769
NCT03470922,A Study of Relatlimab Plus Nivolumab Versus Nivolumab Alone in Participants With Advanced Melanoma,Santiago,1,https://clinicaltrials.gov/study/NCT03470922
NCT03504397,A Study to Compare Zolbetuximab (IMAB362) and Chemotherapy With Placebo and Chemotherapy in Adults With Gastric Cancer.,Providencia (+3 sitios),4,https://clinicaltrials.gov/study/NCT03504397
NCT03519256,A Study of Nivolumab or Nivolumab Plus Experimental Medication BMS-986205 With or Without Bacillus Calumette-Guerin (BCG) in BCG Unresponsive Bladder Cancer Tha,Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT03519256
NCT03626545,Phase III Study Evaluating Efficacy and Safety of Canakinumab in Combination With Docetaxel in Adult Subjects With Non-small Cell Lung Cancers as a Second or Th,Santiago,1,https://clinicaltrials.gov/study/NCT03626545
NCT03631199,Study of Efficacy and Safety of Pembrolizumab Plus Platinum-based Doublet Chemotherapy With or Without Canakinumab in Previously Untreated Locally Advanced or M,Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT03631199
NCT03635983,A Study of NKTR-214 Combined With Nivolumab vs Nivolumab Alone in Participants With Previously Untreated Inoperable or Metastatic Melanoma,Recoleta (+1 sitios),2,https://clinicaltrials.gov/study/NCT03635983
NCT03661320,"A Study to Compare Chemotherapy Alone Versus Chemotherapy Plus Nivolumab or Nivolumab and BMS-986205, Followed by Continued Therapy After Surgery With Nivolumab",Santiago (+3 sitios),4,https://clinicaltrials.gov/study/NCT03661320
NCT03662659,An Investigational Study of Immunotherapy Combinations With Chemotherapy in Patients With Gastric or Gastroesophageal Junction (GEJ) Cancers,Rancagua (+3 sitios),4,https://clinicaltrials.gov/study/NCT03662659
NCT03704077,An Investigational Immuno-therapy Study of Relatlimab Plus Nivolumab Compared to Various Standard-of-Care Therapies in Previously Treated Participants With Recu,Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT03704077
NCT03721289,Evaluation in Real World of Molecular Testing and Treatment Patterns for EGFR Mutation in Lung Cancer Patients,Santiago,1,https://clinicaltrials.gov/study/NCT03721289
